Category	Fraction	# of collected words	# of words to collect
A       	25%     	21846               	228154
B       	3%      	1797                	28203
C       	7%      	2638                	67362
D       	7%      	14094               	55906
E       	3%      	3412                	26588
F       	5%      	2581                	47419
G       	10%     	3321                	96679
H       	15%     	1382                	148618
I       	25%     	61359               	188641
All     	100%    	112430              	887570
