безвинен безвинний
благословен благословенний
блажен блаженний
винен винний
вістен вістний(є на r2u), вісний
годен годний
дивен дивний
достоїн достойний
дрібен дрібний
єхиден єхидний
жаден жадний
жив живий
жоден жодний
звістен звісний
згоден згодний
здатен здатний
здоров здоровий
зелен зелений
золот золотий
кожен кожний
красен красний
ладен ладний
молод молодий
невинен невинний
негоден негодний
незгоден незгодний
неладен неладний
немощен немощний
ненавиден  ненавидний
ненавистен ненависний
певен певний
повен повний
повинен повинний
потрібен потрібний
прекрасен прекрасний
привинен привинний
провинен провинний
рад радий
рівен рівний
самітен самітний
свят святий
силен сильний
славен славний
смутен смутний
срібен срібний
чорен чорний
ясен ясний
