//особові
//думаю, варто додати категорію числа для "він", "вона", "воно"
я я pron:pers:s:1:v_naz
ти ти pron:pers:s:2:v_naz
він він pron:pers:m:3:v_naz
вона вона pron:pers:f:3:v_naz
воно воно pron:pers:n:3:v_naz
ми ми pron:pers:p:1:v_naz
ви ви pron:pers:p:2:v_naz
вони вони pron:pers:p:3:v_naz

//зворотний
//думаю, варто додати окремий додатковий тег для зворотнього і його форм (так, як ми маємо для особових тег :pers)
//тут ж не має бути роду О_о
себе себе pron:m:v_rod

//присвійні
//думаю, варто додати окремий додатковий тег для них (так, як ми маємо для особових :pers)
//тут чомусь "їхній" є прикметником, інші - займенниками
мій мій pron:m:v_naz
твій твій pron:m:v_naz
наш наш pron:m:v_naz
ваш ваш pron:m:v_naz
їхній їхній adj:m:v_naz:&pron
свій свій pron:m:v_naz
//я не впевнена, але можливо варто розписати омонімію невідмінюваних займенників?
її її pron:f:nv
його його pron:m:nv
його його pron:n:nv

//вказівні
//тут є певна невідповідність серед прикметникових
//є можливість, що я не всі виписала зі словника, тому бажано ще пошукати по словнику
отой отой pron:m:v_naz
оцей оцей pron:m:v_naz
той той pron:m:v_naz
цей цей pron:m:v_naz
такий-то такий-то pron:m:v_naz
той-таки той-таки pron:m:v_naz
отакий отакий adj:m:v_naz:&pron
сякий сякий adj:m:v_naz:&pron
такий такий adj:m:v_naz:&pron
стільки стільки numr:v_naz
так так adv
отак отак adv

//неозначені
//є можливість, що я не всі виписала зі словника, тому бажано ще пошукати по словнику
абичий абичий pron:m:v_naz
абиякий абиякий adj:m:v_naz
бозна-чий бозна-чий pron:m:v_naz
бозна-котрий бозна-котрий adj:m:v_naz
бозна-який бозна-який adj:m:v_naz
будь-чий будь-чий pron:m:v_naz
будь-який будь-який adj:m:v_naz
чортзна-чий чортзна-чий pron:m:v_naz
котрий-будь котрий-будь pron:m:v_naz
котрий-небудь котрий-небудь pron:m:v_naz
котрийсь котрийсь pron:m:v_naz
деякий деякий adj:m:v_naz
дечий дечий adj:m:v_naz
чий-небудь чий-небудь pron:m:v_naz
чийсь чийсь pron:m:v_naz
який-небудь який-небудь pron:m:v_naz
якийсь якийсь pron:m:v_naz
що-небудь що-небудь pron:n:v_naz
абихто абихто pron:v_naz
абищо абищо pron:v_naz
бозна-хто бозна-хто pron:v_naz
бозна-що бозна-що pron:v_naz
будь-хто будь-хто pron:v_naz
будь-що будь-що pron:v_naz
дехто дехто pron:v_naz
дещо дещо pron:v_naz
казна-що казна-що pron:v_naz
хтозна-що хтозна-що pron:v_naz
казна-де казна-де adv
казна-звідки казна-звідки adv
казна-коли казна-коли adv
казна-куди казна-куди adv
казна-як казна-як adv
хтозна-який хтозна-який adj:m:v_naz
хтозна-де хтозна-де adv
хтозна-звідки хтозна-звідки adv
хтозна-коли хтозна-коли adv
хтозна-куди хтозна-куди adv
хтозна-скільки хтозна-скільки adv
хтозна-як хтозна-як adv
чортзна-де чортзна-де adv
чортзна-звідки чортзна-звідки adv
чортзна-коли чортзна-коли adv
чортзна-куди чортзна-куди adv
чортзна-скільки чортзна-скільки adv
чортзна-як чортзна-як adv
чортзна-що чортзна-що pron:v_naz
хто-небудь хто-небудь pron:v_naz
хтось хтось pron:v_naz
скількись скількись pron
небагато-хто небагато-хто pron:v_naz
//тут дивний тег mis для одної з форм
хтозна-хто хтозна-хто pron:v_naz
хтозна-кому хтозна-хто pron:mis
//для цих займенників у словнику бракує словоформ (підозрюю, що це тому, що відмінюються обидві частини)
сякий-такий сякий-такий pron:m:v_naz
такий-сякий такий-сякий pron:m:v_naz

//питально-відносні
//я не маю розумних пропозицій щодо того, що з ними робити))
//"хто" і "що" не повинні мати категорії роду
хто хто pron:m:v_naz
що що pron:n:v_naz
скільки скільки numr:v_naz
чий чий pron:m:v_naz
який який adj:m:v_naz
котрий котрий adj:m:v_naz

//означальні
весь весь pron:m:v_naz
всяк всяк pron:m:v_naz
ввесь увесь pron:m:v_naz
увесь увесь pron:m:v_naz
усяк усяк pron:m:v_naz
сам сам pron:m:v_naz
кожний кожний adj:m:v_naz
інший інший adj:m:v_naz
самий самий adj:m:v_naz
всякий всякий adj:m:v_naz:v-u
усякий усякий adj:m:v_naz:v-u
всілякий всілякий adj:m:v_naz:v-u
//може, це таки прикметник?
сам-самісінький сам-самісінький pron:m:v_naz

//заперечні (тут займенники, прикметники, прислівник)
//є можливість, що я не всі виписала зі словника, тому бажано ще пошукати по словнику
нічий нічий pron:m:v_naz
аніхто аніхто pron:v_naz
аніщо аніщо pron:v_naz
ніхто ніхто pron:v_naz
ніщо ніщо pron:v_naz
анічогісінько анічогісінько pron
аніякий аніякий adj:m:v_naz:&pron
жодний жодний adj:m:v_naz:&pron
жоднісінький жоднісінький adj:m:v_naz
нікотрий нікотрий adj:m:v_naz:&pron
ніякий ніякий adj:m:v_naz
ніскільки ніскільки adv
