"!им. ед.","род","род. ед.","дат. ед.","вин. ед.","твор. ед.","предл. ед."
"Аббас Оглы","M","","","","",""
"Аббас-али","M","Аббаса-али","Аббасу-али","Аббаса-али","Аббасом-али","Аббасе-али"
"Аббас","M","","","","",""
"Аббасали Оглы","M","","","","",""
"Аббяс","M","Аббяса","Аббясу","Аббяса","Аббясом","Аббясе"
"Абдельуахиб","M","","","","",""
"Абдельхак","M","Абдельхака","Абдельхаку","Абдельхака","Абдельхаком","Абдельхаке"
"Абджели","M","Абджели","Абджели","Абджели","Абджели","Абджели"
"Абджелим","M","","","","",""
"Абджелин","M","","","","",""
"Абдо","M","","","","",""
"Абдрахман","M","","","","",""
"Абдували","M","","","","",""
"Абдувахид","M","Абдувахида","Абдувахиду","Абдувахида","Абдувахидом","Абдувахиде"
"Абдувахоб","M","","","","",""
"Абдужемиль","M","","","","",""
"Абдул","M","","","","",""
"Абдула","M","Абдулы","Абдуле","Абдулы","Абдулой","Абдуле"
"Абдулали Оглы","M","","","","",""
"Абдулкадир","M","","","","",""
"Абдулкарим","M","Абдулкарима","Абдулкариму","Абдулкарима","Абдулкаримом","Абдулкариме"
"Абдульбер","M","","","","",""
"Абдульнафий","M","","","","",""
"Абдумажит","M","Абдумажита","Абдумажиту","Абдумажита","Абдумажитом","Абдумажите"
"Абдумалик","M","Абдумалика","Абдумалику","Абдумалика","Абдумаликом","Абдумалике"
"Абдумарат","M","","","","",""
"Абдумуталиб","M","","","","",""
"Абдураим","M","Абдураима","Абдураиму","Абдураима","Абдураимом","Абдураиме"
"Абдураман","M","Абдурмана","Абдурману","Абдурмана","Абдурманом","Абдурмане"
"Абдурашид","M","Абдурашида","Абдурашиду","Абдурашида","Абдурашидом","Абдурашиде"
"Абдуселим","M","","","","",""
"Абель","M","","","","",""
"Абетнак","M","","","","",""
"Абжелиль","M","","","","",""
"Абзалетдин","M","","","","",""
"Абзар Оглы","M","","","","",""
"Аби","M","","","","",""
"Абибула","M","Абибула","Абибулу","Абибула","Абибулом","Абибуле"
"Абил","M","Абила","Абилу","Абила","Абилом","Абиле"
"Абилалим","M","","","","",""
"Абильзят","M","","","","",""
"Абиляз","M","","","","",""
"Абит","M","","","","",""
"Абкадир","M","","","","",""
"Абкерим","M","","","","",""
"Аблазиз","M","Аблазиза","Аблазизу","Аблазиза","Аблазизом","Аблазизе"
"Аблай","M","","","","",""
"Аблокул","M","","","","",""
"Абляз","M","Абляза","Аблязу","Абляза","Аблязом","Аблязе"
"Аблязис","M","","","","",""
"Абляким","M","Аблякима","Аблякиму","Аблякима","Аблякимом","Аблякиме"
"Аблямит","M","Аблямита","Аблямиту","Аблямита","Аблямитом","Аблямите"
"Аблятиф","M","","","","",""
"Абрам","M","Абрама","Абраму","Абрама","Абрамом","Абраме"
"Абрек","M","Абрека","Абреку","Абрека","Абреком","Абреке"
"Абрик","M","","","","",""
"Абубекир","M","","","","",""
"Абузар","M","","","","",""
"Абулфат","M","","","","",""
"Абусейт","M","","","","",""
"Абяс","M","","","","",""
"Авад","M","Авада","Аваду","Авада","Авадом","Аваде"
"Аваз","M","","","","",""
"Авак","M","","","","",""
"Авакян","M","Авакяна","Авакяну","Авакяна","Авакяном","Авакяне"
"Аванес","M","Аванеса","Аванесу","Аванеса","Аванесом","Аванесе"
"Аввакум","M","","","","",""
"Август","M","Августа","Августу","Августа","Августом","Августе"
"Августа","F","Августы","Августе","Августы","Августой","Августе"
"Августин","M","Августина","Августину","Августина","Августином","Августине"
"Августина","F","","","","",""
"Авдей","M","Авдея","Авдею","Авдея","Авдеем","Авдее"
"Авдотья","F","Авдотьи","Авдотье","Авдотьи","Авдотьей","Авдотьи"
"Авель","M","Авеля","Авелю","Авеля","Авелем","Авеле"
"Авенир","M","Авенира","Авениру","Авенира","Авениром","Авенире"
"Аверьян","M","Аверьяна","Аверьяну","Аверьяна","Аверьяном","Аверьяне"
"Аветиз","M","Аветиза","Аветизу","Аветиза","Аветизом","Аветизе"
"Аветик","M","Аветика","Аветику","Аветика","Аветиком","Аветике"
"Аветис","M","","","","",""
"Аветисян","M","Аветисяна","Аветисяну","Аветисяна","Аветисяном","Аветисяне"
"Авксентий","M","Авксентия","Авксентию","Авксентия","Авксентием","Авксентие"
"Аврал","M","","","","",""
"Аврам","M","Аврама","Авраму","Аврама","Аврамом","Авраме"
"Аврел","M","Аврела","Аврелу","Аврела","Аврелом","Авреле"
"Аврелий","M","","","","",""
"Аврелия","F","","","","",""
"Аврора","F","Авроры","Авроре","Авроры","Авророй","Авроре"
"Аврум","M","","","","",""
"Авсей","M","","","","",""
"Австралий","M","","","","",""
"Автандил","M","Автандила","Автандилу","Автандила","Автандилом","Автандиле"
"Автомон","M","","","","",""
"Автоном","M","","","","",""
"Авыв","M","","","","",""
"Ага","M","","","","",""
"Агавни","F","Агавнии","Агавнии","Агавнии","Агавнией","Агавние"
"Агададаш Оглы","M","","","","",""
"Агадиш","M","Агадиша","Агадишу","Агадиша","Агадишем","Агадише"
"Агакерим","M","Агакерима","Агакериму","Агакерима","Агакеримом","Агакериме"
"Агалар","M","","","","",""
"Агап","M","","","","",""
"Агапия","F","","","","",""
"Агарагин","M","Агарагина","Агарагину","Агарагина","Агарагином","Агарагине"
"Агарон","M","Агарона","Агарону","Агарона","Агароном","Агароне"
"Агас","M","","","","",""
"Агасаф","M","","","","",""
"Агаси Оглы","M","","","","",""
"Агаси","M","Агасия","Агасию","Агасия","Агасием","Агасие"
"Агасин","M","","","","",""
"Агасиогин","M","","","","",""
"Агата","F","Агаты","Агате","Агаты","Агатой","Агате"
"Агафон","M","Агафона","Агафону","Агафона","Агафоном","Агафоне"
"Агафья","F","Агафьи","Агафьи","Агафьи","Агафьей","Агафье"
"Агахан","M","","","","",""
"Агван","M","Агвана","Агвану","Агвана","Агваном","Агване"
"Агедзян","M","","","","",""
"Агей","M","","","","",""
"Агзам","M","","","","",""
"Аглая","F","","","","",""
"Агнесса","F","Агнессы","Агнессе","Агнессы","Агнессой","Агнессе"
"Агнетта","F","Агнеты","Агнете","Агнеты","Агнетой","Агнете"
"Агнешка","F","","","","",""
"Агния","F","","","","",""
"Аграфена","F","Аграфены","Аграфене","Аграфены","Аграфеной","Аграфене"
"Агриппина","F","","","","",""
"Ада","F","Ады","Аде","Ады","Адой","Аде"
"Адай","M","","","","",""
"Адальберт","M","Адальберта","Адальберту","Адальберта","Адальбертом","Адальберте"
"Адам","M","Адамом","Адаму","Адама","Адамом","Адаме"
"Адана","F","Аданы","Адане","Аданы","Аданой","Адане"
"Аданша Оглы","M","","","","",""
"Адар","M","","","","",""
"Адверт","M","","","","",""
"Адган","M","Адгана","Адгану","Адгана","Адганом","Адгане"
"Адеил","M","Адеила","Адеилу","Адеила","Адеилом","Адеиле"
"Адей","M","","","","",""
"Аделаида","F","Аделаиды","Аделаиде","Аделаиды","Аделаидой","Аделаиде"
"Аделина","F","Аделины","Аделине","Аделины","Аделиной","Аделине"
"Аделия","F","Аделии","Аделии","Аделии","Аделией","Аделие"
"Аделла","F","Аделлы","Аделле","Аделлы","Аделлой","Аделле"
"Адель","F","Адель","Адель","Адель","Адель","Адель"
"Адель","M","","","","",""
"Адельзян","M","","","","",""
"Адельфина","F","Адельфины","Адельфине","Адельфины","Адельфиной","Адельфине"
"Адельшай","M","","","","",""
"Адем","M","Адема","Адему","Адема","Адемом","Адеме"
"Адемид","M","","","","",""
"Аджи","M","","","","",""
"Аджимурат","M","","","","",""
"Аджире","F","Аджиры","Аджире","Аджиры","Аджирой","Аджире"
"Адиб","M","","","","",""
"Адий","M","Адия","Адию","Адия","Адием","Адие"
"Адил","M","","","","",""
"Адиль","M","Адиля","Адилю","Адиля","Адилем","Адиле"
"Адильжан","M","","","","",""
"Адиля","F","Адили","Адили","Адили","Адилей","Адилие"
"Адим","M","","","","",""
"Адислав","M","","","","",""
"Адихам","M","","","","",""
"Адлена","F","Адлены","Адлене","Адлены","Адленой","Адлене"
"Аднан","M","Аднана","Аднану","Аднана","Аднаном","Аднане"
"Адолий","M","","","","",""
"Адоль","M","","","","",""
"Адольф","M","Адольфа","Адольфу","Адольфа","Адольфом","Адольфе"
"Адольфас","M","","","","",""
"Адольфина","F","","","","",""
"Адоний","M","","","","",""
"Адонис","M","","","","",""
"Адриан","M","Адриана","Адриану","Адриана","Адрианом","Адриане"
"Адриана","F","Адрианы","Адриане","Адрианы","Адрианой","Адриане"
"Адрика","F","Адрики","Адрике","Адрики","Адрикой","Адрике"
"Адуар","M","Адуара","Адуару","Адуара","Адуаром","Адуаре"
"Адхам","M","","","","",""
"Адьгам","M","","","","",""
"Ажире","F","Ажире","Ажире","Ажире","Ажире","Ажире"
