"!наз. од.","рід","клич.","род. одн.","дав. одн.","знах. одн.","оруд. одн.","місц. одн."
"Аббас Огли","M","","","","","",""
"Аббас-алі","M","Аббасе-алі","Аббаса-алі","Аббасу-алі","Аббаса-алі","Аббасом-алі","Аббасу-алі"
"Аббас","M","","","","","",""
"Аббасалі Огли","M","","","","","",""
"Аббяс","M","Аббясе","Аббяса","Аббясу","Аббяса","Аббясом","Аббясові"
"Абдельуахіб","M","","","","","",""
"Абдельхак","M","Абдельхаке","Абдельхака","Абдельхаку","Абдельхака","Абдельхаком","Абдельхакові"
"Абджелі","M","Абджелі","Абджелі","Абджелі","Абджелі","Абджелі","Абджелі"
"Абджелім","M","","","","","",""
"Абджелін","M","","","","","",""
"Абдо","M","","","","","",""
"Абдрахман","M","","","","","",""
"Абдувалі","M","","","","","",""
"Абдувахоб","M","","","","","",""
"Абдувахід","M","Абдувахіде","Абдувахіда","Абдувахіду","Абдувахіда","Абдувахідом","Абдувахідові"
"Абдужеміль","M","","","","","",""
"Абдул","M","","","","","",""
"Абдула","M","Абдуле","Абдули","Абдулі","Абдули","Абдулою","Абдулі"
"Абдулалі Огли","M","","","","","",""
"Абдулкадір","M","","","","","",""
"Абдулкарим","M","","","","","",""
"Абдулкарім","M","Абдулкаріме","Абдулкаріма","Абдулкаріму","Абдулкаріма","Абдулкарімом","Абдулкаріму"
"Абдулла","M","","","","","",""
"Абдульбер","M","","","","","",""
"Абдульнафій","M","","","","","",""
"Абдумажит","M","Абдумажите","Абдумажита","Абдумажиту","Абдумажита","Абдумажитом","Абдумажитові"
"Абдумалік","M","Абдумаліку","Абдумаліка","Абдумаліку","Абдумаліка","Абдумаліком","Абдумалікові"
"Абдумарат","M","","","","","",""
"Абдумуталіб","M","","","","","",""
"Абдураман","M","Абдурмане","Абдурмана","Абдурману","Абдурмана","Абдурманом","Абдурмані"
"Абдурашид","M","Абдурашиде","Абдурашида","Абдурашиду","Абдурашида","Абдурашидом","Абдурашидові"
"Абдураім","M","","","","","",""
"Абдураїм","M","Абдураїме","Абдураїма","Абдураїму","Абдураїма","Абдураїмом","Абдураїму"
"Абдуселім","M","","","","","",""
"Абель","M","","","","","",""
"Абетнак","M","","","","","",""
"Абжеліль","M","","","","","",""
"Абзалетдин","M","","","","","",""
"Абзар Огли","M","","","","","",""
"Абкадир","M","","","","","",""
"Абкерим","M","","","","","",""
"Аблазіз","M","Аблазізе","Аблазіза","Аблазізу","Аблазіза","Аблазізом","Аблазізові"
"Аблай","M","","","","","",""
"Аблокул","M","","","","","",""
"Абляз","M","Аблязе","Абляза","Аблязу","Абляза","Аблязом","Аблязові"
"Аблязіс","M","","","","","",""
"Абляким","M","","","","","",""
"Аблякім","M","Аблякіме","Аблякіма","Аблякіму","Аблякіма","Аблякімом","Аблякімові"
"Аблямит","M","","","","","",""
"Абляміт","M","Абляміте","Абляміта","Абляміту","Абляміта","Аблямітом","Аблямітові"
"Аблятиф","M","","","","","",""
"Абрам","M","Абраме","Абрама","Абраму","Абрама","Абрамом","Абраму"
"Абрек","M","Абреке","Абрека","Абреку","Абрека","Абреком","Абрекові"
"Абрик","M","","","","","",""
"Абубекир","M","","","","","",""
"Абузар","M","","","","","",""
"Абулфат","M","","","","","",""
"Абусейт","M","","","","","",""
"Абяс","M","","","","","",""
"Абі","M","","","","","",""
"Абібула","M","Абібуле","Абібула","Абібулу","Абібула","Абібулом","Абібулові"
"Абіл","M","Абіле","Абіла","Абілу","Абіла","Абілом","Абілові"
"Абілалім","M","","","","","",""
"Абільзят","M","","","","","",""
"Абіляз","M","","","","","",""
"Абіт","M","","","","","",""
"Авад","M","Аваде","Авада","Аваду","Авада","Авадом","Авадові"
"Аваз","M","","","","","",""
"Авак","M","","","","","",""
"Авакян","M","Авакяне","Авакяна","Авакяну","Авакяна","Авакяном","Авакянові"
"Аванес","M","Аванесе","Аванеса","Аванесу","Аванеса","Аванесом","Аванесові"
"Аввакум","M","","","","","",""
"Август","M","Августе","Августа","Августу","Августа","Августом","Августі"
"Августа","F","Августо","Августи","Августі","Августи","Августою","Августі"
"Августин","M","Августино","Августина","Августину","Августина","Августином","Августині"
"Августина","F","Августино","Августини","Августині","Августину","Августиною","Августині"
"Авдей","M","Авдею","Авдея","Авдею","Авдея","Авдеєм","Авдеєві"
"Авдотʼя","F","Авдотʼє","Авдотʼї","Авдотʼї","Авдотʼї","Авдотією","Авдотʼї"
"Авдій","M","","","","","",""
"Авель","M","Авелю","Авеля","Авелю","Авеля","Авелем","Авелеві"
"Авенір","M","Авеніре","Авеніра","Авеніру","Авеніра","Авеніром","Авенірі"
"Аверʼян","M","Аверʼяне","Аверʼяна","Аверʼянові","Аверʼяна","Аверʼяном","Аверʼянові"
"Аветик","M","","","","","",""
"Аветис","M","","","","","",""
"Аветисян","M","Аветисяне","Аветисяна","Аветисяну","Аветисяна","Аветисяном","Аветисянові"
"Аветіз","M","Аветізе","Аветіза","Аветізу","Аветіза","Аветізом","Аветізові"
"Аветік","M","Аветік","Аветіка","Аветіку","Аветіка","Аветіком","Аветіку"
"Авив","M","","","","","",""
"Авксентій","M","Авксентіє","Авксентія","Авксентію","Авксентія","Авксентієм","Авксентії"
"Аврал","M","","","","","",""
"Аврам","M","Авраме","Аврама","Аврамові","Аврама","Аврамом","Аврамові"
"Аврел","M","Авреле","Аврела","Аврелові","Аврела","Аврелом","Аврелові"
"Аврелій","M","","","","","",""
"Аврелія","F","Авреліє","Аврелії","Аврелії","Аврелію","Аврелією","Аврелії"
"Аврора","F","Авроро","Аврори","Аврорі","Аврори","Авророю","Аврорі"
"Аврум","M","","","","","",""
"Австралій","M","","","","","",""
"Авсій","M","","","","","",""
