"!им. ед.","род","род. ед.","дат. ед.","вин. ед.","твор. ед.","предл. ед."
"Аббас Огли","M","Аббас Оглы","Аббас Оглы","Аббас Оглы","Аббас Оглы","Аббас Оглы"
"Аббас-алиевич","M","","","","",""
"Аббас-алиевна","F","","","","",""
"Аббасалі Огли","M","Аббасали Оглы","Аббасали Оглы","Аббасали Оглы","Аббасали Оглы","Аббасали Оглы"
"Аббасилівна","F","Аббасиловны","Аббасиловне","Аббасиловны","Аббасиловной","Аббасиловне"
"Аббасович","M","Аббасовича","Аббасовичу","Аббасовича","Аббасовичем","Аббасовиче"
"Аббясович","M","","","","",""
"Аббясовна","F","","","","",""
"Абдельуахібович","M","Абдельуахибовича","Абдельуахибовичу","Абдельуахибовича","Абдельуахибовичем","Абдельуахибовиче"
"Абдельхакович","M","","","","",""
"Абдельхаковна","F","","","","",""
"Абджелиевич","M","","","","",""
"Абджелиевна","F","","","","",""
"Абджелімович","M","Абджелимовича","Абджелимовичу","Абджелимовича","Абджелимовичем","Абджелимовиче"
"Абджелінівна","F","Абджелиновны","Абджелиновне","Абджелиновны","Абджелиновной","Абджелиновне"
"Абдоєвич","M","Абдоевича","Абдоевичу","Абдоевича","Абдоевичем","Абдоевиче"
"Абдрахманович","M","Абдрахмановича","Абдрахмановичу","Абдрахмановича","Абдрахмановичем","Абдрахмановиче"
"Абдувалійович","M","Абдувалиевича","Абдувалиевичу","Абдувалиевича","Абдувалиевичем","Абдувалиевиче"
"Абдувахидович","M","","","","",""
"Абдувахидовна","F","","","","",""
"Абдувахобівна","F","Абдувахобовны","Абдувахобовне","Абдувахобовны","Абдувахобовной","Абдувахобовне"
"Абдужемільович","M","Абдужемильевича","Абдужемильевичу","Абдужемильевича","Абдужемильевичем","Абдужемильевиче"
"Абдужемілівна","F","Абдужемилевны","Абдужемилевне","Абдужемилевны","Абдужемилевной","Абдужемилевне"
"Абдулалі Огли","M","Абдулали Оглы","Абдулали Оглы","Абдулали Оглы","Абдулали Оглы","Абдулали Оглы"
"Абдулаєвич","M","Абдулаевича","Абдулаевичу","Абдулаевича","Абдулаевичем","Абдулаевиче"
"Абдулаївна","F","Абдулаевны","Абдулаевне","Абдулаевны","Абдулаевной","Абдулаевне"
"Абдулкадірівна","F","Абдулкадировны","Абдулкадировне","Абдулкадировны","Абдулкадировной","Абдулкадировне"
"Абдулкаримович","M","","","","",""
"Абдулкаримовна","F","","","","",""
"Абдулкаримівна","F","Абдулкаримовны","Абдулкаримовне","Абдулкаримовны","Абдулкаримовной","Абдулкаримовне"
"Абдулкарімович","M","Абдулкаримовича","Абдулкаримовичу","Абдулкаримовича","Абдулкаримовичем","Абдулкаримовиче"
"Абдулович","M","Абдуловича","Абдуловичу","Абдуловича","Абдуловичем","Абдуловиче"
"Абдуловна","F","","","","",""
"Абдульберівна","F","Абдульберовны","Абдульберовне","Абдульберовны","Абдульберовной","Абдульберовне"
"Абдульнафійович","M","Абдульнафиевича","Абдульнафиевичу","Абдульнафиевича","Абдульнафиевичем","Абдульнафиевиче"
"Абдулівна","F","Абдуловны","Абдуловне","Абдуловны","Абдуловной","Абдуловне"
"Абдумажитович","M","","","","",""
"Абдумажитовна","F","","","","",""
"Абдумаликович","M","","","","",""
"Абдумаликовна","F","","","","",""
"Абдумаратович","M","Абдумаратовича","Абдумаратовичу","Абдумаратовича","Абдумаратовичем","Абдумаратовиче"
"Абдумуталібівна","F","Абдумуталибовны","Абдумуталибовне","Абдумуталибовны","Абдумуталибовной","Абдумуталибовне"
"Абдураимович","M","","","","",""
"Абдураимовна","F","","","","",""
"Абдураманович","M","Абдурамановича","Абдурамановичу","Абдурамановича","Абдурамановичем","Абдурамановиче"
"Абдураманівна","F","Абдурамановны","Абдурамановне","Абдурамановны","Абдурамановной","Абдурамановне"
"Абдурашидович","M","","","","",""
"Абдурашидовна","F","","","","",""
"Абдураімович","M","Абдураимовича","Абдураимовичу","Абдураимовича","Абдураимовичем","Абдураимовиче"
"Абдураїмівна","F","Абдураимовны","Абдураимовне","Абдураимовны","Абдураимовной","Абдураимовне"
"Абдурманович","M","","","","",""
"Абдурмановна","F","","","","",""
"Абдуселімович","M","Абдуселимовича","Абдуселимовичу","Абдуселимовича","Абдуселимовичем","Абдуселимовиче"
"Абелевич","M","Абелевича","Абелевичу","Абелевича","Абелевичем","Абелевиче"
"Абетнакович","M","Абетнаковича","Абетнаковичу","Абетнаковича","Абетнаковичем","Абетнаковиче"
"Абжелілович","M","Абжелиловича","Абжелиловичу","Абжелиловича","Абжелиловичем","Абжелиловиче"
"Абзалетдинович","M","Абзалетдиновича","Абзалетдиновичу","Абзалетдиновича","Абзалетдиновичем","Абзалетдиновиче"
"Абзар Огли","M","Абзар Оглы","Абзар Оглы","Абзар Оглы","Абзар Оглы","Абзар Оглы"
"Абибулович","M","","","","",""
"Абибуловна","F","","","","",""
"Абилович","M","","","","",""
"Абиловна","F","","","","",""
"Абкадирович","M","Абкадировича","Абкадировичу","Абкадировича","Абкадировичем","Абкадировиче"
"Абкеримівна","F","Абкеримовны","Абкеримовне","Абкеримовны","Абкеримовной","Абкеримовне"
"Аблазизович","M","","","","",""
"Аблазизовна","F","","","","",""
"Аблайович","M","Аблаевича","Аблаевичу","Аблаевича","Аблаевичем","Аблаевиче"
"Аблаївна","F","Аблаевны","Аблаевне","Аблаевны","Аблаевной","Аблаевне"
"Аблокулович","M","Аблокуловича","Аблокуловичу","Аблокуловича","Аблокуловичем","Аблокуловиче"
"Аблязович","M","","","","",""
"Аблязовна","F","","","","",""
"Аблязісівна","F","Аблязисовны","Аблязисовне","Аблязисовны","Аблязисовной","Аблязисовне"
"Аблякимович","M","Аблякимовича","Аблякимовичу","Аблякимовича","Аблякимовичем","Аблякимовиче"
"Аблякимовна","F","","","","",""
"Аблякимівна","F","Аблякимовны","Аблякимовне","Аблякимовны","Аблякимовной","Аблякимовне"
"Аблямитович","M","Аблямитовича","Аблямитовичу","Аблямитовича","Аблямитовичем","Аблямитовиче"
"Аблямитовна","F","","","","",""
"Аблямитівна","F","Аблямитовны","Аблямитовне","Аблямитовны","Аблямитовной","Аблямитовне"
"Аблятифович","M","Аблятифовича","Аблятифовичу","Аблятифовича","Аблятифовичем","Аблятифовиче"
"Абрамович","M","Абрамович","Абрамовичу","Абрамовича","Абрамовичем","Абрамовиче"
"Абрамовна","F","","","","",""
"Абрамівна","F","Абрамовны","Абрамовне","Абрамовны","Абрамовной","Абрамовне"
"Абрекович","M","","","","",""
"Абрековна","F","","","","",""
"Абрикович","M","Абриковича","Абриковичу","Абриковича","Абриковичем","Абриковиче"
"Абубекирович","M","Абубекировича","Абубекировичу","Абубекировича","Абубекировичем","Абубекировиче"
"Абузарівна","F","Абузаровны","Абузаровне","Абузаровны","Абузаровной","Абузаровне"
"Абулфатович","M","Абулфатовича","Абулфатовичу","Абулфатовича","Абулфатовичем","Абулфатовиче"
"Абусейтович","M","Абусейтовича","Абусейтовичу","Абусейтовича","Абусейтовичем","Абусейтовиче"
"Абясович","M","Абясовича","Абясовичу","Абясовича","Абясовичем","Абясовиче"
"Абійович","M","Абиевича","Абиевичу","Абиевича","Абиевичем","Абиевиче"
"Абілалімович","M","Абилалимовича","Абилалимовичу","Абилалимовича","Абилалимовичем","Абилалимовиче"
"Абільзятович","M","Абильзятовича","Абильзятовичу","Абильзятовича","Абильзятовичем","Абильзятовиче"
"Абілязівна","F","Абилязовны","Абилязовне","Абилязовны","Абилязовной","Абилязовне"
"Абітович","M","Абитовича","Абитовичу","Абитовича","Абитовичем","Абитовиче"
"Авадович","M","","","","",""
"Авадовна","F","","","","",""
"Авазович","M","Авазовича","Авазовичу","Авазовича","Авазовичем","Авазовиче"
"Авакович","M","Аваковича","Аваковичу","Аваковича","Аваковичем","Аваковиче"
"Авакянович","M","","","","",""
"Авакяновна","F","","","","",""
"Аванесович","M","Аванесовича","Аванесовичу","Аванесовича","Аванесовичем","Аванесовиче"
"Аванесовна","F","","","","",""
"Аванесівна","F","Аванесовны","Аванесовне","Аванесовны","Аванесовной","Аванесовне"
"Аввакумович","M","Аввакумовича","Аввакумовичу","Аввакумовича","Аввакумовичем","Аввакумовиче"
"Аввакумівна","F","Аввакумовны","Аввакумовне","Аввакумовны","Аввакумовной","Аввакумовне"
"Августинович","M","Августиновича","Августиновичу","Августиновича","Августиновичем","Августиновиче"
"Августиновна","F","","","","",""
"Августинівна","F","Августиновны","Августиновне","Августиновны","Августиновной","Августиновне"
"Августович","M","Августовича","Августовичу","Августовича","Августовичем","Августовиче"
"Августовна","F","","","","",""
"Августівна","F","Августовны","Августовне","Августовны","Августовной","Августовне"
"Авдеевич","M","","","","",""
"Авдеевна","F","","","","",""
"Авдійович","M","Авдеевича","Авдеевичу","Авдеевича","Авдеевичем","Авдеевиче"
"Авдіївна","F","Авдеевны","Авдеевне","Авдеевны","Авдеевной","Авдеевне"
"Авельевич","M","","","","",""
"Авельевна","F","","","","",""
"Авенирович","M","","","","",""
"Авенировна","F","","","","",""
"Авенирівна","F","Авенировны","Авенировне","Авенировны","Авенировной","Авенировне"
"Авенірович","M","Авенировича","Авенировичу","Авенировича","Авенировичем","Авенировиче"
"Аверʼянович","M","Аверьяновича","Аверьяновичу","Аверьяновича","Аверьяновичем","Аверьяновиче"
"Аверʼянівна","F","Аверьяновны","Аверьяновне","Аверьяновны","Аверьяновной","Аверьяновне"
"Аветизович","M","","","","",""
"Аветизовна","F","","","","",""
"Аветикович","M","Аветиковича","Аветиковичу","Аветиковича","Аветиковичем","Аветиковиче"
"Аветиковна","F","","","","",""
"Аветиківна","F","Аветиковны","Аветиковне","Аветиковны","Аветиковной","Аветиковне"
"Аветисович","M","Аветисовича","Аветисовичу","Аветисовича","Аветисовичем","Аветисовиче"
"Аветисянович","M","","","","",""
"Аветисяновна","F","","","","",""
"Авивович","M","Авывовича","Авывовичу","Авывовича","Авывовичем","Авывовиче"
"Авксентиевич","M","","","","",""
"Авксентиевна","F","","","","",""
"Авксентійович","M","Авксентиевича","Авксентиевичу","Авксентиевича","Авксентиевичем","Авксентиевиче"
"Авксентіївна","F","Авксентьевны","Авксентьевне","Авксентьевны","Авксентьевной","Авксентьевне"
"Авралович","M","Авраловича","Авраловичу","Авраловича","Авраловичем","Авраловиче"
"Аврамович","M","Аврамовича","Аврамовичу","Аврамовича","Аврамовичем","Аврамовиче"
"Аврамівна","F","Аврамовны","Аврамовне","Аврамовны","Аврамовной","Аврамовне"
"Аврелович","M","Авреловича","Авреловичу","Авреловича","Авреловичем","Авреловиче"
"Авреліївна","F","Аврелиевны","Аврелиевне","Аврелиевны","Аврелиевной","Аврелиевне"
"Аврумович","M","Аврумовича","Аврумовичу","Аврумовича","Аврумовичем","Аврумовиче"
"Австралійович","M","Австралиевича","Австралиевичу","Австралиевича","Австралиевичем","Австралиевиче"
"Авсіївна","F","Авсеевны","Авсеевне","Авсеевны","Авсеевной","Авсеевне"
"Автандилович","M","","","","",""
"Автандиловна","F","","","","",""
"Автандилівна","F","Автандиловны","Автандиловне","Автандиловны","Автандиловной","Автандиловне"
"Автанділович","M","Автандиловича","Автандиловичу","Автандиловича","Автандиловичем","Автандиловиче"
"Автомонович","M","Автомоновича","Автомоновичу","Автомоновича","Автомоновичем","Автомоновиче"
"Автономович","M","Автономовича","Автономовичу","Автономовича","Автономовичем","Автономовиче"
"Автономівна","F","Автономовны","Автономовне","Автономовны","Автономовной","Автономовне"
"Агададаш Огли","M","Агададаш Оглы","Агададаш Оглы","Агададаш Оглы","Агададаш Оглы","Агададаш Оглы"
"Агадишевич","M","","","","",""
"Агадишевна","F","","","","",""
"Агакеримович","M","","","","",""
"Агакеримовна","F","","","","",""
"Агакеримівна","F","Агакеримовны","Агакеримовне","Агакеримовны","Агакеримовной","Агакеримовне"
"Агаларович","M","Агаларовича","Агаларовичу","Агаларовича","Агаларовичем","Агаларовиче"
"Агапович","M","Агаповича","Агаповичу","Агаповича","Агаповичем","Агаповиче"
"Агарагинович","M","","","","",""
"Агарагиновна","F","","","","",""
"Агаронович","M","","","","",""
"Агароновна","F","","","","",""
"Агасафівна","F","Агасафовны","Агасафовне","Агасафовны","Агасафовной","Агасафовне"
"Агасиевич","M","","","","",""
"Агасиевна","F","","","","",""
"Агасинович","M","Агасиновича","Агасиновичу","Агасиновича","Агасиновичем","Агасиновиче"
"Агасі Огли","M","Агаси Оглы","Агаси Оглы","Агаси Оглы","Агаси Оглы","Агаси Оглы"
"Агасівна","F","Агасовны","Агасовне","Агасовны","Агасовной","Агасовне"
"Агасіогінович","M","Агасиогиновича","Агасиогиновичу","Агасиогиновича","Агасиогиновичем","Агасиогиновиче"
"Агафонович","M","Агафоновича","Агафоновичу","Агафоновича","Агафоновичем","Агафоновиче"
"Агафоновна","F","","","","",""
"Агафонівна","F","Агафоновны","Агафоновне","Агафоновны","Агафоновной","Агафоновне"
"Агаханович","M","Агахановича","Агахановичу","Агахановича","Агахановичем","Агахановиче"
"Агаханівна","F","Агахановны","Агахановне","Агахановны","Агахановной","Агахановне"
"Агванович","M","Агвановича","Агвановичу","Агвановича","Агвановичем","Агвановиче"
"Агвановна","F","","","","",""
"Агедзянович","M","Агедзяновича","Агедзяновичу","Агедзяновича","Агедзяновичем","Агедзяновиче"
"Агейович","M","Агеевича","Агеевичу","Агеевича","Агеевичем","Агеевиче"
"Агзамович","M","Агзамовича","Агзамовичу","Агзамовича","Агзамовичем","Агзамовиче"
"Агович","M","Аговича","Аговичу","Аговича","Аговичем","Аговиче"
"Агіївна","F","Агеевны","Агеевне","Агеевны","Агеевной","Агеевне"
"Адайович","M","Адаевича","Адаевичу","Адаевича","Адаевичем","Адаевиче"
"Адальбертович","M","Адальбертовича","Адальбертовичу","Адальбертовича","Адальбертовичем","Адальбертовиче"
"Адальбертовна","F","","","","",""
"Адальбертівна","F","Адальбертовны","Адальбертовне","Адальбертовны","Адальбертовной","Адальбертовне"
"Адамович","M","Адамовича","Адамовичу","Адамовича","Адамовичем","Адамовиче"
"Адамовна","F","","","","",""
"Адамівна","F","Адамовны","Адамовне","Адамовны","Адамовной","Адамовне"
"Аданша Огли","M","Аданша Оглы","Аданша Оглы","Аданша Оглы","Аданша Оглы","Аданша Оглы"
"Адарович","M","Адаровича","Адаровичу","Адаровича","Адаровичем","Адаровиче"
"Адвертович","M","Адвертовича","Адвертовичу","Адвертовича","Адвертовичем","Адвертовиче"
"Адганович","M","Адгановича","Адгановичу","Адгановича","Адгановичем","Адгановиче"
"Адгановна","F","","","","",""
"Адеилович","M","","","","",""
"Адеиловна","F","","","","",""
"Адельзянович","M","Адельзяновича","Адельзяновичу","Адельзяновича","Адельзяновичем","Адельзяновиче"
"Адельович","M","Адельевича","Адельевичу","Адельевича","Адельевичем","Адельевиче"
"Адельшайович","M","Адельшаевича","Адельшаевичу","Адельшаевича","Адельшаевичем","Адельшаевиче"
"Адемидович","M","Адемидовича","Адемидовичу","Адемидовича","Адемидовичем","Адемидовиче"
"Адемович","M","","","","",""
"Адемовна","F","","","","",""
"Аджийович","M","Аджиевича","Аджиевичу","Аджиевича","Аджиевичем","Аджиевиче"
"Аджимуратович","M","Аджимуратовича","Аджимуратовичу","Аджимуратовича","Аджимуратовичем","Аджимуратовиче"
"Аджимуратівна","F","Аджимуратовны","Аджимуратовне","Аджимуратовну","Аджимуратовной","Аджимуратовне"
"Адибович","M","Адибовича","Адибовичу","Адибовича","Адибовичем","Адибовиче"
"Адиевич","M","","","","",""
"Адиевна","F","","","","",""
"Адильевич","M","","","","",""
"Адильевна","F","","","","",""
"Адильжанівна","F","Адильжановны","Адильжановне","Адильжановны","Адильжановной","Адильжановне"
"Адилівна","F","Адиловны","Адиловне","Адиловны","Адиловной","Адиловне"
"Адимович","M","Адимовича","Адимовичу","Адимовича","Адимовичем","Адимовиче"
"Адиславович","M","Адиславовича","Адиславовичу","Адиславовича","Адиславовичем","Адиславовиче"
"Аднанович","M","","","","",""
"Аднановна","F","","","","",""
"Адольфасівна","F","Адольфасовны","Адольфасовне","Адольфасовну","Адольфасовной","Адольфасовне"
"Адольфович","M","Адольфовича","Адольфовичу","Адольфовича","Адольфовичем","Адольфовиче"
"Адольфовна","F","","","","",""
"Адольфівна","F","Адольфовны","Адольфовне","Адольфовны","Адольфовной","Адольфовне"
"Адолівна","F","Адоловны","Адоловне","Адоловны","Адоловной","Адоловне"
"Адолійович","M","Адолиевича","Адолиевичу","Адолиевича","Адолиевичем","Адолиевиче"
"Адонісович","M","Адонисовича","Адонисовичу","Адонисовича","Адонисовичем","Адонисовиче"
"Адоніївна","F","Адониевны","Адониевне","Адониевны","Адониевной","Адониевне"
"Адрианович","M","","","","",""
"Адриановна","F","","","","",""
"Адріанович","M","Адриановича","Адриановичу","Адриановича","Адриановичем","Адриановиче"
"Адріанівна","F","Адриановны","Адриановне","Адриановны","Адриановной","Адриановне"
"Адуарович","M","Адуаровича","Адуаровичу","Адуаровича","Адуаровичем","Адуаровиче"
"Адуаровна","F","","","","",""
"Адуарівна","F","Адуаровны","Адуаровне","Адуаровны","Адуаровной","Адуаровне"
"Адхамівна","F","Адхамовны","Адхамовне","Адхамовны","Адхамовной","Адхамовне"
"Адьгамівна","F","Адьгамовны","Адьгамовне","Адьгамовны","Адьгамовной","Адьгамовне"
"Адійович","M","Адеевича","Адеевичу","Адеевича","Адеевичем","Адеевиче"
"Адіхамович","M","Адихамовича","Адихамовичу","Адихамовича","Адихамовичем","Адихамовиче"
"Азаматович","M","Азаматовича","Азаматовичу","Азаматовича","Азаматовичем","Азаматовиче"
"Азаретович","M","Азаретовича","Азаретовичу","Азаретовича","Азаретовичем","Азаретовиче"
"Азариевич","M","","","","",""
"Азариевна","F","","","","",""
"Азарович","M","Азаровича","Азаровичу","Азаровича","Азаровичем","Азаровиче"
"Азатбекович","M","Азатбековича","Азатбековичу","Азатбековича","Азатбековичем","Азатбековиче"
"Азатович","M","Азатовича","Азатовичу","Азатовича","Азатовичем","Азатовиче"
"Азатовна","F","","","","",""
"Азатівна","F","Азатовны","Азатовне","Азатовны","Азатовной","Азатовне"
"Азерович","M","","","","",""
"Азеровна","F","","","","",""
"Азизович","M","","","","",""
"Азизовна","F","","","","",""
"Азизуллович","M","","","","",""
"Азизулловна","F","","","","",""
"Азимович","M","","","","",""
"Азимовна","F","","","","",""
"Азимівна","F","Азимовны","Азимовне","Азимовны","Азимовной","Азимовне"
"Азнавурович","M","","","","",""
"Азнавуровна","F","","","","",""
"Азольдівна","F","Азольдовны","Азольдовне","Азольдовны","Азольдовной","Азольдовне"
"Азотович","M","","","","",""
"Азотовна","F","","","","",""
"Азрилівна","F","Азриловны","Азриловне","Азриловны","Азриловной","Азриловне"
"Азізович","M","Азизовича","Азизовичу","Азизовича","Азизовичем","Азизовиче"
"Азізівна","F","Азизовны","Азизовне","Азизовны","Азизовной","Азизовне"
"Азімович","M","Азимовича","Азимовичу","Азимовича","Азимовичем","Азимовиче"
"Аиткальевич","M","","","","",""
"Аиткальевна","F","","","","",""
"Аифалович","M","","","","",""
"Аифаловна","F","","","","",""
"Айбекович","M","","","","",""
"Айбековна","F","","","","",""
"Айвазович","M","Айвазовича","Айвазовичу","Айвазовича","Айвазовичем","Айвазовиче"
"Айвазовна","F","","","","",""
"Айварович","M","Айваровича","Айваровичу","Айваровича","Айваровичем","Айваровиче"
"Айгарсович","M","","","","",""
"Айгарсовна","F","","","","",""
"Айдерович","M","Айдеровича","Айдеровичу","Айдеровича","Айдеровичем","Айдеровиче"
"Айдеровна","F","","","","",""
"Айдерівна","F","Айдеровны","Айдеровне","Айдеровны","Айдеровной","Айдеровне"
"Айдимирович","M","","","","",""
"Айдимировна","F","","","","",""
"Айдинович","M","Айдиновича","Айдиновичу","Айдиновича","Айдиновичем","Айдиновиче"
"Айдиновна","F","","","","",""
"Айдинівна","F","Айдиновны","Айдиновне","Айдиновны","Айдиновной","Айдиновне"
"Айзекович","M","Айзековича","Айзековичу","Айзековича","Айзековичем","Айзековиче"
"Айзорович","M","Айзоровича","Айзоровичу","Айзоровича","Айзоровичем","Айзоровиче"
"Айкадович","M","","","","",""
"Айкадовна","F","","","","",""
"Айказович","M","Айказовича","Айказовичу","Айказовича","Айказовичем","Айказовиче"
"Айкасович","M","","","","",""
"Айкасовна","F","","","","",""
"Айкасівна","F","Айкасовны","Айкасовне","Айкасовны","Айкасовной","Айкасовне"
"Айкович","M","","","","",""
"Айковна","F","","","","",""
"Айманович","M","","","","",""
"Аймановна","F","","","","",""
"Айразатівна","F","Айразатовны","Айразатовне","Айразатовны","Айразатовной","Айразатовне"
"Айралетянович","M","","","","",""
"Айралетяновна","F","","","","",""
"Айрапетович","M","Айрапетовича","Айрапетовичу","Айрапетовича","Айрапетовичем","Айрапетовиче"
"Айратович","M","","","","",""
"Айратовна","F","","","","",""
"Айтуганівна","F","Айтугановны","Айтугановне","Айтугановны","Айтугановной","Айтугановне"
"Акайович","M","Акаевича","Акаевичу","Акаевича","Акаевичем","Акаевиче"
"Акакиевич","M","","","","",""
"Акакиевна","F","","","","",""
"Акакійович","M","Акакиевича","Акакиевичу","Акакиевича","Акакиевичем","Акакиевиче"
"Акакіївна","F","Акакиевны","Акакиевне","Акакиевны","Акакиевной","Акакиевне"
"Акбарович","M","Акбаровича","Акбаровичу","Акбаровича","Акбаровичем","Акбаровиче"
"Акбаровна","F","","","","",""
"Акбарівна","F","Акбаровны","Акбаровне","Акбаровны","Акбаровной","Акбаровне"
"Акберович","M","Акберовича","Акберовичу","Акберовича","Акберовичем","Акберовиче"
"Акзамівна","F","Акзамовны","Акзамовне","Акзамовны","Акзамовной","Акзамовне"
"Акиорович","M","","","","",""
"Акиоровна","F","","","","",""
"Акифович","M","","","","",""
"Акифовна","F","","","","",""
"Акифівна","F","Акифовны","Акифовне","Акифовны","Акифовной","Акифовне"
"Акмеджанович","M","Акмеджановича","Акмеджановичу","Акмеджановича","Акмеджановичем","Акмеджановиче"
"Акмурадович","M","Акмурадовича","Акмурадовичу","Акмурадовича","Акмурадовичем","Акмурадовиче"
"Акопович","M","Акоповича","Акоповичу","Акоповича","Акоповичем","Акоповиче"
"Акоповна","F","","","","",""
"Акопівна","F","Акоповны","Акоповне","Акоповны","Акоповной","Акоповне"
"Акорівна","F","Акоровны","Акоровне","Акоровны","Акоровной","Акоровне"
"Акрамович","M","Акрамовича","Акрамовичу","Акрамовича","Акрамовичем","Акрамовиче"
"Акрамовна","F","","","","",""
"Акрамівна","F","Акрамовны","Акрамовне","Акрамовны","Акрамовной","Акрамовне"
"Акселевич","M","","","","",""
"Аксельевна","F","","","","",""
"Аксьонович","M","","","","",""
"Аксьоновна","F","","","","",""
"Акіндинівна","F","Акиндиновны","Акиндиновне","Акиндиновну","Акиндиновной","Акиндиновне"
"Акіндійович","M","Акиндиевича","Акиндиевичу","Акиндиевича","Акиндиевичем","Акиндиевиче"
"Алавич","M","","","","",""
"Алавна","F","","","","",""
"Аладдинович","M","","","","",""
"Аладдиновна","F","","","","",""
"Аладдінович","M","Алладиновича","Алладиновичу","Алладиновича","Алладиновичем","Алладиновиче"
