"!наз. од.","рід","клич.","род. одн.","дав. одн.","знах. одн.","оруд. одн.","місц. одн."
"Аббас Оглы","M","Аббас Огли","Аббас Огли","Аббас Огли","Аббас Огли","Аббас Огли","Аббас Огли"
"Аббас-алійович","M","","","","","",""
"Аббас-аліївна","F","","","","","",""
"Аббасали Оглы","M","Аббасалі Огли","Аббасалі Огли","Аббасалі Огли","Аббасалі Огли","Аббасалі Огли","Аббасалі Огли"
"Аббасиловна","F","Аббасилівно","Аббасилівни","Аббасилівні","Аббасилівни","Аббасилівною","Аббасилівні"
"Аббасович","M","Аббасовичу","Аббасовича","Аббасовичу","Аббасовича","Аббасовичем","Аббасовичу"
"Аббясович","M","","","","","",""
"Аббясівна","F","","","","","",""
"Абдельуахибович","M","Абдельуахібовичу","Абдельуахібовича","Абдельуахібовичу","Абдельуахібовича","Абдельуахібовичем","Абдельуахібовичу"
"Абдельхакович","M","","","","","",""
"Абдельхаківна","F","","","","","",""
"Абджелимович","M","Абджелімовичу","Абджелімовича","Абджелімовичу","Абджелімовича","Абджелімовичем","Абджелімовичу"
"Абджелиновна","F","Абджелінівно","Абджелінівни","Абджелінівні","Абджелінівни","Абджелінівною","Абджелінівні"
"Абджелійович","M","","","","","",""
"Абджеліївна","F","","","","","",""
"Абдоевич","M","Абдоєвичу","Абдоєвича","Абдоєвичу","Абдоєвича","Абдоєвичем","Абдоєвичу"
"Абдрахманович","M","Абдрахмановичу","Абдрахмановича","Абдрахмановичу","Абдрахмановича","Абдрахмановичем","Абдрахмановичу"
"Абдувалиевич","M","Абдувалійовичу","Абдувалійовича","Абдувалійовичу","Абдувалійовича","Абдувалійовичем","Абдувалійовичу"
"Абдувахобовна","F","Абдувахобівно","Абдувахобівни","Абдувахобівні","Абдувахобівни","Абдувахобівною","Абдувахобівні"
"Абдувахідович","M","","","","","",""
"Абдувахідівна","F","","","","","",""
"Абдужемилевна","F","Абдужемілівно","Абдужемілівни","Абдужемілівні","Абдужемілівни","Абдужемілівною","Абдужемілівні"
"Абдужемильевич","M","Абдужемільовичу","Абдужемільовича","Абдужемільовичу","Абдужемільовича","Абдужемільовичем","Абдужемільовичу"
"Абдулаевич","M","Абдулаєвичу","Абдулаєвича","Абдулаєвичу","Абдулаєвича","Абдулаєвичем","Абдулаєвичу"
"Абдулаевна","F","Абдулаївно","Абдулаївни","Абдулаївні","Абдулаївни","Абдулаївною","Абдулаївні"
"Абдулали Оглы","M","Абдулалі Огли","Абдулалі Огли","Абдулалі Огли","Абдулалі Огли","Абдулалі Огли","Абдулалі Огли"
"Абдулкадировна","F","Абдулкадірівно","Абдулкадірівни","Абдулкадірівні","Абдулкадірівни","Абдулкадірівною","Абдулкадірівні"
"Абдулкакарімович","M","","","","","",""
"Абдулкаримович","M","Абдулкарімовичу","Абдулкарімовича","Абдулкарімовичу","Абдулкарімовича","Абдулкарімовичем","Абдулкарімовичу"
"Абдулкаримовна","F","Абдулкаримівно","Абдулкаримівни","Абдулкаримівні","Абдулкаримівни","Абдулкаримівною","Абдулкаримівні"
"Абдулкарімівна","F","","","","","",""
"Абдулович","M","Абдуловичу","Абдуловича","Абдуловичу","Абдуловича","Абдуловичем","Абдуловичу"
"Абдуловна","F","Абдулівно","Абдулівни","Абдулівні","Абдулівни","Абдулівною","Абдулівні"
"Абдульберовна","F","Абдульберівно","Абдульберівни","Абдульберівні","Абдульберівни","Абдульберівною","Абдульберівні"
"Абдульнафиевич","M","Абдульнафійовичу","Абдульнафійовича","Абдульнафійовичу","Абдульнафійовича","Абдульнафійовичем","Абдульнафійовичу"
"Абдулівна","F","","","","","",""
"Абдумажитович","M","","","","","",""
"Абдумажитівна","F","","","","","",""
"Абдумалікович","M","","","","","",""
"Абдумаліківна","F","","","","","",""
"Абдумаратович","M","Абдумаратовичу","Абдумаратовича","Абдумаратовичу","Абдумаратовича","Абдумаратовичем","Абдумаратовичу"
"Абдумуталибовна","F","Абдумуталібівно","Абдумуталібівни","Абдумуталібівні","Абдумуталібівни","Абдумуталібівною","Абдумуталібівні"
"Абдураимович","M","Абдураімовичу","Абдураімовича","Абдураімовичу","Абдураімовича","Абдураімовичем","Абдураімовичу"
"Абдураимовна","F","Абдураїмівно","Абдураїмівни","Абдураїмівні","Абдураїмівни","Абдураїмівною","Абдураїмівні"
"Абдураманович","M","Абдурамановичу","Абдурамановича","Абдурамановичу","Абдурамановича","Абдурамановичем","Абдурамановичу"
"Абдурамановна","F","Абдураманівно","Абдураманівни","Абдураманівні","Абдураманівни","Абдураманівною","Абдураманівні"
"Абдурашидович","M","","","","","",""
"Абдурашидівна","F","","","","","",""
"Абдураїмович","M","","","","","",""
"Абдураїмівна","F","","","","","",""
"Абдурманович","M","","","","","",""
"Абдурманівна","F","","","","","",""
"Абдуселимович","M","Абдуселімовичу","Абдуселімовича","Абдуселімовичу","Абдуселімовича","Абдуселімовичем","Абдуселімовичу"
"Абелевич","M","Абелевичу","Абелевича","Абелевичу","Абелевича","Абелевичем","Абелевичу"
